gene,area
PLXNC1,Temporal lobe
IGFBP5,Temporal lobe
SYBU,Temporal lobe
FGFBP3,Temporal lobe
MET,Temporal lobe
OSTN,Temporal lobe
WNT7B,Temporal lobe
NTNG2,Temporal lobe
EXPH5,Temporal lobe
SPINT1,Temporal lobe
ERVMER34-1,Temporal lobe
HAS2,Temporal lobe
PIK3AP1,Temporal lobe
MAP3K19,Temporal lobe
COL9A3,Temporal lobe
FGFR3,Temporal lobe
LMO1,Temporal lobe
ASCL1,Temporal lobe
NR2F1,Temporal lobe
SNX22,Temporal lobe
ANLN,Temporal lobe
ETFB,Temporal lobe
RASL11B,Temporal lobe
TRPC4,Temporal lobe
TLE1,Temporal lobe
PCSK9,Temporal lobe
ID2,Temporal lobe
LHFPL6,Temporal lobe
PLXND1,Temporal lobe
ECEL1,Temporal lobe
KCNJ12,Temporal lobe
GSTO2,Temporal lobe
LRRTM4,Temporal lobe
NTNG1,Temporal lobe
ADORA1,Temporal lobe
UNC5A,Temporal lobe
EPHA6,Temporal lobe
PLP1,Temporal lobe
DACH2,Temporal lobe
SORCS3,Temporal lobe
GPC4,Temporal lobe
NR2F2,Temporal lobe
CYB5R2,Temporal lobe
CDH3,Temporal lobe
TAFA2,Temporal lobe
THRA,Temporal lobe
PALLD,Temporal lobe
PCDH8,Temporal lobe
NR4A2,Temporal lobe
KLHL32,Occipital lobe
MYO1E,Occipital lobe
